Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""1s.19h""","=""1H*""","=""5""",11,"=""[""","=""24.54970509759533""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.19i""","=""3I""","=""6""",13,"=""[""","=""24.54970518825704""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.19i""","=""3I""","=""7""",15,"=""[""","=""24.54970519111661""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.19i""","=""3I""","=""5""",11,"=""[""","=""24.54970519372214""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.19i""","=""1I""","=""6""",13,"=""[""","=""24.54970519579230""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.19p""","=""1P*""","=""1""",3,"=""[""","=""24.5497533137915""","=""]""","=""0.0000000000025""","=""L22715c201"""
"=""1s.20s""","=""3S""","=""1""",3,"=""[""","=""24.55234727581""","=""]""","=""0.00000000003""","=""L22715c201"""
"=""1s.20s""","=""1S""","=""0""",1,"=""[""","=""24.55289899570""","=""]""","=""0.00000000004""","=""L22715c201"""
"=""1s.20p""","=""3P*""","=""2""",5,"=""[""","=""24.553145916683""","=""]""","=""0.000000000014""","=""L22715c201"""
"=""1s.20p""","=""3P*""","=""1""",3,"=""[""","=""24.553145925030""","=""]""","=""0.000000000014""","=""L22715c201"""
"=""1s.20p""","=""3P*""","=""0""",1,"=""[""","=""24.553146027712""","=""]""","=""0.000000000014""","=""L22715c201"""
"=""1s.20d""","=""3D""","=""3""",7,"=""[""","=""24.5533696617467""","=""]""","=""0.0000000000016""","=""L22715c201"""
"=""1s.20d""","=""3D""","=""2""",5,"=""[""","=""24.5533696630594""","=""]""","=""0.0000000000016""","=""L22715c201"""
"=""1s.20d""","=""3D""","=""1""",3,"=""[""","=""24.5533696813030""","=""]""","=""0.0000000000016""","=""L22715c201"""
"=""1s.20d""","=""1D""","=""2""",5,"=""[""","=""24.5533722807159""","=""]""","=""0.0000000000011""","=""L22715c201"""
"=""1s.20f""","=""3F*""","=""3""",7,"=""[""","=""24.5533779320559""","=""]""","=""0.0000000000006""","=""L22715c201"""
"=""1s.20f""","=""3F*""","=""4""",9,"=""[""","=""24.55337793629091""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.20f""","=""3F*""","=""2""",5,"=""[""","=""24.55337794482623""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.20f""","=""1F*""","=""3""",7,"=""[""","=""24.5533779599663""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.20g""","=""3G""","=""4""",9,"=""[""","=""24.55337901209176""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.20g""","=""3G""","=""5""",11,"=""[""","=""24.55337901743833""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.20g""","=""3G""","=""3""",7,"=""[""","=""24.55337902231636""","=""]""","=""0.00000000000025""","=""L22715c201"""
