obs_E(eV),unc_obs_E,ritz_wn(eV),unc_ritz_wn,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""0.1415876000143""","=""0.0000000000006""","=""""","=""6.143e+01""",AA,"=""[24.3097514811699]""","=""[24.4513390811842]""","=""1s.7g""","=""1G""","=""4""","=""1s.10f""","=""3F*""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415875635564""","=""0.0000000000006""","=""""","=""1.683e+02""",AA,"=""[24.3097514811699]""","=""[24.4513390447263]""","=""1s.7g""","=""1G""","=""4""","=""1s.10f""","=""3F*""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415668132972""","=""0.0000000000030""","=""""","=""1.440e+03""",AA,"=""[24.3097272911601]""","=""[24.4512941044573]""","=""1s.7f""","=""3F*""","=""3""","=""1s.10d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415662073872""","=""0.0000000000030""","=""""","=""4.5288e+03""",AAA,"=""[24.3097278970701]""","=""[24.4512941044573]""","=""1s.7f""","=""1F*""","=""3""","=""1s.10d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.141546531288""","=""0.000000000004""","=""""","=""4.0576e+03""",AAA,"=""[24.3097272911601]""","=""[24.451273822448]""","=""1s.7f""","=""3F*""","=""3""","=""1s.10d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.141546520891""","=""0.000000000004""","=""""","=""3.5848e+02""",AAA,"=""[24.3097272911601]""","=""[24.451273812052]""","=""1s.7f""","=""3F*""","=""3""","=""1s.10d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.141546403662""","=""0.000000000004""","=""""","=""5.5191e+03""",AAA,"=""[24.3097274083893]""","=""[24.451273812052]""","=""1s.7f""","=""3F*""","=""4""","=""1s.10d""","=""3D""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.141546360976""","=""0.000000000004""","=""""","=""6.0097e+03""",AAA,"=""[24.3097276075680]""","=""[24.451273968544]""","=""1s.7f""","=""3F*""","=""2""","=""1s.10d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.141546214880""","=""0.000000000004""","=""""","=""6.6770e+02""",AAA,"=""[24.3097276075680]""","=""[24.451273822448]""","=""1s.7f""","=""3F*""","=""2""","=""1s.10d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.141546204484""","=""0.000000000004""","=""""","=""1.3628e+01""",AAA,"=""[24.3097276075680]""","=""[24.451273812052]""","=""1s.7f""","=""3F*""","=""2""","=""1s.10d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.141545925378""","=""0.000000000004""","=""""","=""1.284e+03""",AA,"=""[24.3097278970701]""","=""[24.451273822448]""","=""1s.7f""","=""1F*""","=""3""","=""1s.10d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.141545914981""","=""0.000000000004""","=""""","=""1.185e+02""",AA,"=""[24.3097278970701]""","=""[24.451273812052]""","=""1s.7f""","=""1F*""","=""3""","=""1s.10d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1407731592""","=""0.0000000009""","=""""","=""4.3156e+05""",AAA,"=""[24.0282250640]""","=""[24.1689982232]""","=""1s.5p""","=""3P*""","=""2""","=""1s.6s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1407725988""","=""0.0000000009""","=""""","=""2.5894e+05""",AAA,"=""[24.0282256244]""","=""[24.1689982232]""","=""1s.5p""","=""3P*""","=""1""","=""1s.6s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1407657243""","=""0.0000000009""","=""""","=""8.6312e+04""",AAA,"=""[24.0282324989]""","=""[24.1689982232]""","=""1s.5p""","=""3P*""","=""0""","=""1s.6s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14058592573""","=""0.00000000016""","=""""","=""4.0864e+04""",AAA,"=""[24.31070817873]""","=""[24.4512941044573]""","=""1s.7p""","=""1P*""","=""1""","=""1s.10d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14056564372""","=""0.00000000016""","=""""","=""3.024e+00""",AA,"=""[24.31070817873]""","=""[24.451273822448]""","=""1s.7p""","=""1P*""","=""1""","=""1s.10d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.13993643825""","=""0.00000000009""","=""""","=""1.8409e+04""",AAA,"=""[24.309541353601]""","=""[24.44947779185]""","=""1s.7d""","=""3D""","=""1""","=""1s.10p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.13993603235""","=""0.00000000009""","=""""","=""1.3806e+04""",AAA,"=""[24.309540927161]""","=""[24.44947695951]""","=""1s.7d""","=""3D""","=""2""","=""1s.10p""","=""3P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.13993599449""","=""0.00000000009""","=""""","=""1.5464e+04""",AAA,"=""[24.309540897300]""","=""[24.44947689179]""","=""1s.7d""","=""3D""","=""3""","=""1s.10p""","=""3P*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.13993596463""","=""0.00000000009""","=""""","=""2.7611e+03""",AAA,"=""[24.309540927161]""","=""[24.44947689179]""","=""1s.7d""","=""3D""","=""2""","=""1s.10p""","=""3P*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.13993560591""","=""0.00000000009""","=""""","=""4.6023e+03""",AAA,"=""[24.309541353601]""","=""[24.44947695951]""","=""1s.7d""","=""3D""","=""1""","=""1s.10p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.13993553819""","=""0.00000000009""","=""""","=""1.8409e+02""",AAA,"=""[24.309541353601]""","=""[24.44947689179]""","=""1s.7d""","=""3D""","=""1""","=""1s.10p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.13987957821""","=""0.00000000009""","=""""","=""1.116e+00""",AA,"=""[24.309597381304]""","=""[24.44947695951]""","=""1s.7d""","=""1D""","=""2""","=""1s.10p""","=""3P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.13860419582""","=""0.00000000024""","=""""","=""3.6232e+04""",AAA,"=""[24.30428920147]""","=""[24.44289339729]""","=""1s.7p""","=""3P*""","=""2""","=""1s.10s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.13860399565""","=""0.00000000024""","=""""","=""2.1739e+04""",AAA,"=""[24.30428940164]""","=""[24.44289339729]""","=""1s.7p""","=""3P*""","=""1""","=""1s.10s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.13860153782""","=""0.00000000024""","=""""","=""7.2464e+03""",AAA,"=""[24.30429185947]""","=""[24.44289339729]""","=""1s.7p""","=""3P*""","=""0""","=""1s.10s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.13675184036""","=""0.00000000021""","=""""","=""5.6053e+04""",AAA,"=""[24.31070817873]""","=""[24.44746001910]""","=""1s.7p""","=""1P*""","=""1""","=""1s.10s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1352936363""","=""0.0000000009""","=""""","=""1.0673e+04""",AAA,"=""[24.1689982232]""","=""[24.30429185947]""","=""1s.6s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
