obs_E(eV),unc_obs_E,ritz_wn(eV),unc_ritz_wn,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""0.07172574566""","=""0.00000000021""","=""""","=""6.1515e+03""",AAA,"=""[24.37116765163]""","=""[24.44289339729]""","=""1s.8p""","=""3P*""","=""0""","=""1s.10s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.07043034304""","=""0.00000000016""","=""""","=""1.167e+00""",AA,"=""[24.30428920147]""","=""[24.374719544511]""","=""1s.7p""","=""3P*""","=""2""","=""1s.8d""","=""1D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.07043014287""","=""0.00000000016""","=""""","=""3.210e+00""",AA,"=""[24.30428940164]""","=""[24.374719544511]""","=""1s.7p""","=""3P*""","=""1""","=""1s.8d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.07039198427""","=""0.00000000016""","=""""","=""1.5952e+03""",AAA,"=""[24.30428920147]""","=""[24.374681185743]""","=""1s.7p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.07039178410""","=""0.00000000016""","=""""","=""2.3928e+04""",AAA,"=""[24.30428940164]""","=""[24.374681185743]""","=""1s.7p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.07039169874""","=""0.00000000016""","=""""","=""1.4356e+04""",AAA,"=""[24.30428920147]""","=""[24.374680900214]""","=""1s.7p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.07039167860""","=""0.00000000016""","=""""","=""5.7427e+04""",AAA,"=""[24.30428920147]""","=""[24.374680880069]""","=""1s.7p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.07039149857""","=""0.00000000016""","=""""","=""4.3067e+04""",AAA,"=""[24.30428940164]""","=""[24.374680900214]""","=""1s.7p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.07038932627""","=""0.00000000016""","=""""","=""3.1904e+04""",AAA,"=""[24.30429185947]""","=""[24.374681185743]""","=""1s.7p""","=""3P*""","=""0""","=""1s.8d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.068499479""","=""0.000000003""","=""""","=""5.8221e+04""",AAA,"=""[23.673570590]""","=""[23.74207006880]""","=""1s.4s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0669989259""","=""0.0000000009""","=""""","=""2.317e+00""",AA,"=""[23.0070758719]""","=""[23.07407479777]""","=""1s.3p""","=""3P*""","=""1""","=""1s.3d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0665833540""","=""0.0000000009""","=""""","=""3.5879e+02""",AAA,"=""[23.00707314571]""","=""[23.07365649967]""","=""1s.3p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0665806278""","=""0.0000000009""","=""""","=""5.3819e+03""",AAA,"=""[23.0070758719]""","=""[23.07365649967]""","=""1s.3p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0665778741""","=""0.0000000009""","=""""","=""3.2284e+03""",AAA,"=""[23.00707314571]""","=""[23.07365101981]""","=""1s.3p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0665775628""","=""0.0000000009""","=""""","=""1.2917e+04""",AAA,"=""[23.00707314571]""","=""[23.07365070854]""","=""1s.3p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0665751479""","=""0.0000000009""","=""""","=""9.6851e+03""",AAA,"=""[23.0070758719]""","=""[23.07365101981]""","=""1s.3p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0665470662""","=""0.0000000009""","=""""","=""7.1759e+03""",AAA,"=""[23.0071094335]""","=""[23.07365649967]""","=""1s.3p""","=""3P*""","=""0""","=""1s.3d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06592577019""","=""0.00000000012""","=""""","=""2.020e+00""",AA,"=""[24.309540927161]""","=""[24.375466697350]""","=""1s.7d""","=""3D""","=""2""","=""1s.8p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06586931605""","=""0.00000000012""","=""""","=""2.5468e+04""",AAA,"=""[24.309597381304]""","=""[24.375466697350]""","=""1s.7d""","=""1D""","=""2""","=""1s.8p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.065266432937""","=""0.000000000009""","=""""","=""2.871e+03""",AA,"=""[24.309540897300]""","=""[24.3748073302369]""","=""1s.7d""","=""3D""","=""3""","=""1s.8f""","=""1F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.065266403075""","=""0.000000000009""","=""""","=""2.216e+04""",AA,"=""[24.309540927161]""","=""[24.3748073302369]""","=""1s.7d""","=""3D""","=""2""","=""1s.8f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.065266228300""","=""0.000000000009""","=""""","=""4.8696e+02""",AAA,"=""[24.309540897300]""","=""[24.3748071255995]""","=""1s.7d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.065266198438""","=""0.000000000009""","=""""","=""1.7042e+04""",AAA,"=""[24.309540927161]""","=""[24.3748071255995]""","=""1s.7d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.065266094883""","=""0.000000000009""","=""""","=""1.0957e+05""",AAA,"=""[24.309540897300]""","=""[24.3748069921824]""","=""1s.7d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.065266019762""","=""0.000000000009""","=""""","=""9.3036e+03""",AAA,"=""[24.309540897300]""","=""[24.3748069170618]""","=""1s.7d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.065265989900""","=""0.000000000009""","=""""","=""7.5234e+04""",AAA,"=""[24.309540927161]""","=""[24.3748069170618]""","=""1s.7d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.065265771999""","=""0.000000000009""","=""""","=""9.2036e+04""",AAA,"=""[24.309541353601]""","=""[24.3748071255995]""","=""1s.7d""","=""3D""","=""1""","=""1s.8f""","=""3F*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.065209948933""","=""0.000000000009""","=""""","=""8.4683e+04""",AAA,"=""[24.309597381304]""","=""[24.3748073302369]""","=""1s.7d""","=""1D""","=""2""","=""1s.8f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.065209744296""","=""0.000000000009""","=""""","=""1.441e+00""",AA,"=""[24.309597381304]""","=""[24.3748071255995]""","=""1s.7d""","=""1D""","=""2""","=""1s.8f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.065209535758""","=""0.000000000009""","=""""","=""2.508e+04""",AA,"=""[24.309597381304]""","=""[24.3748069170618]""","=""1s.7d""","=""1D""","=""2""","=""1s.8f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650960664070""","=""0.0000000000017""","=""""","=""7.582e+03""",AA,"=""[24.3097272911601]""","=""[24.3748233575671]""","=""1s.7f""","=""3F*""","=""3""","=""1s.8g""","=""1G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650960148975""","=""0.0000000000017""","=""""","=""9.2783e+03""",AAA,"=""[24.3097272911601]""","=""[24.3748233060576]""","=""1s.7f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650959491778""","=""0.0000000000017""","=""""","=""4.609e+03""",AA,"=""[24.3097274083893]""","=""[24.3748233575671]""","=""1s.7f""","=""3F*""","=""4""","=""1s.8g""","=""1G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650958976683""","=""0.0000000000017""","=""""","=""1.9595e+02""",AAA,"=""[24.3097274083893]""","=""[24.3748233060576]""","=""1s.7f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650958549834""","=""0.0000000000017""","=""""","=""1.3883e+05""",AAA,"=""[24.3097272911601]""","=""[24.3748231461435]""","=""1s.7f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650958214387""","=""0.0000000000017""","=""""","=""1.5363e+05""",AAA,"=""[24.3097274083893]""","=""[24.3748232298280]""","=""1s.7f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650957377542""","=""0.0000000000017""","=""""","=""4.9927e+03""",AAA,"=""[24.3097274083893]""","=""[24.3748231461435]""","=""1s.7f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650956984896""","=""0.0000000000017""","=""""","=""1.4109e+05""",AAA,"=""[24.3097276075680]""","=""[24.3748233060576]""","=""1s.7f""","=""3F*""","=""2""","=""1s.8g""","=""3G""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650954604969""","=""0.0000000000017""","=""""","=""1.4144e+05""",AAA,"=""[24.3097278970701]""","=""[24.3748233575671]""","=""1s.7f""","=""1F*""","=""3""","=""1s.8g""","=""1G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650954089875""","=""0.0000000000017""","=""""","=""3.067e+03""",AA,"=""[24.3097278970701]""","=""[24.3748233060576]""","=""1s.7f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650952490734""","=""0.0000000000017""","=""""","=""9.807e+03""",AA,"=""[24.3097278970701]""","=""[24.3748231461435]""","=""1s.7f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650760160696""","=""0.0000000000004""","=""""","=""6.625e+00""",AA,"=""[24.3097511655788]""","=""[24.37482718164840]""","=""1s.7g""","=""3G""","=""4""","=""1s.8h""","=""1H*""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650759790777""","=""0.0000000000004""","=""""","=""5.3184e+03""",AAA,"=""[24.3097511655788]""","=""[24.37482714465648]""","=""1s.7g""","=""3G""","=""4""","=""1s.8h""","=""3H*""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650758910881""","=""0.0000000000004""","=""""","=""4.058e+03""",AA,"=""[24.3097512905603]""","=""[24.37482718164840]""","=""1s.7g""","=""3G""","=""5""","=""1s.8h""","=""1H*""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650758748895""","=""0.0000000000004""","=""""","=""2.0494e+05""",AAA,"=""[24.3097511655788]""","=""[24.37482704046834]""","=""1s.7g""","=""3G""","=""4""","=""1s.8h""","=""3H*""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650758540961""","=""0.0000000000004""","=""""","=""1.0336e+02""",AAA,"=""[24.3097512905603]""","=""[24.37482714465648]""","=""1s.7g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""4""",11,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650758045247""","=""0.0000000000004""","=""""","=""2.0930e+05""",AAA,"=""[24.3097512905603]""","=""[24.37482709508499]""","=""1s.7g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""6""",11,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650757499080""","=""0.0000000000004""","=""""","=""4.3137e+03""",AAA,"=""[24.3097512905603]""","=""[24.37482704046834]""","=""1s.7g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650757403022""","=""0.0000000000004""","=""""","=""1.9896e+05""",AAA,"=""[24.3097514043543]""","=""[24.37482714465648]""","=""1s.7g""","=""3G""","=""3""","=""1s.8h""","=""3H*""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650757004785""","=""0.0000000000004""","=""""","=""2.0523e+05""",AAA,"=""[24.3097514811699]""","=""[24.37482718164840]""","=""1s.7g""","=""1G""","=""4""","=""1s.8h""","=""1H*""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650756634866""","=""0.0000000000004""","=""""","=""4.914e+03""",AA,"=""[24.3097514811699]""","=""[24.37482714465648]""","=""1s.7g""","=""1G""","=""4""","=""1s.8h""","=""3H*""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650755592984""","=""0.0000000000004""","=""""","=""4.440e+01""",AA,"=""[24.3097514811699]""","=""[24.37482704046834]""","=""1s.7g""","=""1G""","=""4""","=""1s.8h""","=""3H*""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06507153859427""","=""0.00000000000014""","=""""","=""6.057e+00""",AA,"=""[24.30975684089325]""","=""[24.37482837948752]""","=""1s.7h""","=""3H*""","=""5""","=""1s.8i""","=""1I""","=""6""",11,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06507151086210""","=""0.00000000000014""","=""""","=""4.7492e+03""",AAA,"=""[24.30975684089325]""","=""[24.37482835175535]""","=""1s.7h""","=""3H*""","=""5""","=""1s.8i""","=""3I""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06507145706747""","=""0.00000000000014""","=""""","=""3.799e+03""",AA,"=""[24.30975692242005]""","=""[24.37482837948752]""","=""1s.7h""","=""3H*""","=""6""","=""1s.8i""","=""1I""","=""6""",13,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06507143764832""","=""0.00000000000014""","=""""","=""2.7674e+05""",AAA,"=""[24.30975684089325]""","=""[24.37482827854156]""","=""1s.7h""","=""3H*""","=""5""","=""1s.8i""","=""3I""","=""6""",11,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06507142933530""","=""0.00000000000014""","=""""","=""6.4455e+01""",AAA,"=""[24.30975692242005]""","=""[24.37482835175535]""","=""1s.7h""","=""3H*""","=""6""","=""1s.8i""","=""3I""","=""5""",13,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06507139442929""","=""0.00000000000014""","=""""","=""2.8077e+05""",AAA,"=""[24.30975692242005]""","=""[24.37482831684934]""","=""1s.7h""","=""3H*""","=""6""","=""1s.8i""","=""3I""","=""7""",13,15,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06507135612152""","=""0.00000000000014""","=""""","=""4.0001e+03""",AAA,"=""[24.30975692242005]""","=""[24.37482827854156]""","=""1s.7h""","=""3H*""","=""6""","=""1s.8i""","=""3I""","=""6""",13,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06507135533806""","=""0.00000000000014""","=""""","=""2.7149e+05""",AAA,"=""[24.30975699641729]""","=""[24.37482835175535]""","=""1s.7h""","=""3H*""","=""4""","=""1s.8i""","=""3I""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06507132785287""","=""0.00000000000014""","=""""","=""2.7696e+05""",AAA,"=""[24.30975705163464]""","=""[24.37482837948752]""","=""1s.7h""","=""1H*""","=""5""","=""1s.8i""","=""1I""","=""6""",11,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06507130012071""","=""0.00000000000014""","=""""","=""4.468e+03""",AA,"=""[24.30975705163464]""","=""[24.37482835175535]""","=""1s.7h""","=""1H*""","=""5""","=""1s.8i""","=""3I""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06507122690692""","=""0.00000000000014""","=""""","=""2.447e+01""",AA,"=""[24.30975705163464]""","=""[24.37482827854156]""","=""1s.7h""","=""1H*""","=""5""","=""1s.8i""","=""3I""","=""6""",11,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06506847148197""","=""0.00000000000009""","=""""","=""1.4358e+01""",AAA,"=""[24.30975862360302]""","=""[24.37482709508499]""","=""1s.7i""","=""3I""","=""6""","=""1s.8h""","=""3H*""","=""6""",13,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06506844875827""","=""0.00000000000009""","=""""","=""1.604e+01""",AA,"=""[24.30975873289013]""","=""[24.37482718164840]""","=""1s.7i""","=""3I""","=""5""","=""1s.8h""","=""1H*""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06506841686532""","=""0.00000000000009""","=""""","=""1.1739e+03""",AAA,"=""[24.30975862360302]""","=""[24.37482704046834]""","=""1s.7i""","=""3I""","=""6""","=""1s.8h""","=""3H*""","=""5""",13,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06506841429972""","=""0.00000000000009""","=""""","=""1.1628e+03""",AAA,"=""[24.30975868078527]""","=""[24.37482709508499]""","=""1s.7i""","=""3I""","=""7""","=""1s.8h""","=""3H*""","=""6""",15,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06506841176635""","=""0.00000000000009""","=""""","=""1.1910e+03""",AAA,"=""[24.30975873289013]""","=""[24.37482714465648]""","=""1s.7i""","=""3I""","=""5""","=""1s.8h""","=""3H*""","=""4""",11,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06506840736230""","=""0.00000000000009""","=""""","=""1.1748e+03""",AAA,"=""[24.30975877428610]""","=""[24.37482718164840]""","=""1s.7i""","=""1I""","=""6""","=""1s.8h""","=""1H*""","=""5""",13,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06506836219486""","=""0.00000000000009""","=""""","=""1.9576e-01""",AAA,"=""[24.30975873289013]""","=""[24.37482709508499]""","=""1s.7i""","=""3I""","=""5""","=""1s.8h""","=""3H*""","=""6""",11,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06506832079889""","=""0.00000000000009""","=""""","=""1.364e+01""",AA,"=""[24.30975877428610]""","=""[24.37482709508499]""","=""1s.7i""","=""1I""","=""6""","=""1s.8h""","=""3H*""","=""6""",13,13,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.06506830757821""","=""0.00000000000009""","=""""","=""1.7046e+01""",AAA,"=""[24.30975873289013]""","=""[24.37482704046834]""","=""1s.7i""","=""3I""","=""5""","=""1s.8h""","=""3H*""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650663889348""","=""0.0000000000004""","=""""","=""6.5111e+01""",AAA,"=""[24.30975684089325]""","=""[24.3748232298280]""","=""1s.7h""","=""3H*""","=""5""","=""1s.8g""","=""3G""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650663611498""","=""0.0000000000004""","=""""","=""7.414e+01""",AA,"=""[24.30975699641729]""","=""[24.3748233575671]""","=""1s.7h""","=""3H*""","=""4""","=""1s.8g""","=""1G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650663096403""","=""0.0000000000004""","=""""","=""3.8612e+03""",AAA,"=""[24.30975699641729]""","=""[24.3748233060576]""","=""1s.7h""","=""3H*""","=""4""","=""1s.8g""","=""3G""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650663074080""","=""0.0000000000004""","=""""","=""3.7336e+03""",AAA,"=""[24.30975692242005]""","=""[24.3748232298280]""","=""1s.7h""","=""3H*""","=""6""","=""1s.8g""","=""3G""","=""5""",13,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650663059324""","=""0.0000000000004""","=""""","=""3.7862e+03""",AAA,"=""[24.30975705163464]""","=""[24.3748233575671]""","=""1s.7h""","=""1H*""","=""5""","=""1s.8g""","=""1G""","=""4""",11,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650663052503""","=""0.0000000000004""","=""""","=""3.7808e+03""",AAA,"=""[24.30975684089325]""","=""[24.3748231461435]""","=""1s.7h""","=""3H*""","=""5""","=""1s.8g""","=""3G""","=""4""",11,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650662334107""","=""0.0000000000004""","=""""","=""1.2764e+00""",AAA,"=""[24.30975699641729]""","=""[24.3748232298280]""","=""1s.7h""","=""3H*""","=""4""","=""1s.8g""","=""3G""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650661781934""","=""0.0000000000004""","=""""","=""6.126e+01""",AA,"=""[24.30975705163464]""","=""[24.3748232298280]""","=""1s.7h""","=""1H*""","=""5""","=""1s.8g""","=""3G""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650661497262""","=""0.0000000000004""","=""""","=""8.0310e+01""",AAA,"=""[24.30975699641729]""","=""[24.3748231461435]""","=""1s.7h""","=""3H*""","=""4""","=""1s.8g""","=""3G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650561646581""","=""0.0000000000014""","=""""","=""6.053e+02""",AA,"=""[24.3097511655788]""","=""[24.3748073302369]""","=""1s.7g""","=""3G""","=""4""","=""1s.8f""","=""1F*""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650559258826""","=""0.0000000000014""","=""""","=""1.253e+02""",AA,"=""[24.3097514043543]""","=""[24.3748073302369]""","=""1s.7g""","=""3G""","=""3""","=""1s.8f""","=""1F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650558490669""","=""0.0000000000014""","=""""","=""7.7710e+03""",AAA,"=""[24.3097514811699]""","=""[24.3748073302369]""","=""1s.7g""","=""1G""","=""4""","=""1s.8f""","=""1F*""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650558266036""","=""0.0000000000014""","=""""","=""2.1481e+02""",AAA,"=""[24.3097511655788]""","=""[24.3748069921824]""","=""1s.7g""","=""3G""","=""4""","=""1s.8f""","=""3F*""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650557514829""","=""0.0000000000014""","=""""","=""7.6202e+03""",AAA,"=""[24.3097511655788]""","=""[24.3748069170618]""","=""1s.7g""","=""3G""","=""4""","=""1s.8f""","=""3F*""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650557212452""","=""0.0000000000014""","=""""","=""8.5019e+03""",AAA,"=""[24.3097514043543]""","=""[24.3748071255995]""","=""1s.7g""","=""3G""","=""3""","=""1s.8f""","=""3F*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650557016221""","=""0.0000000000014""","=""""","=""8.0820e+03""",AAA,"=""[24.3097512905603]""","=""[24.3748069921824]""","=""1s.7g""","=""3G""","=""5""","=""1s.8f""","=""3F*""","=""4""",11,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650555878282""","=""0.0000000000014""","=""""","=""6.5601e+00""",AAA,"=""[24.3097514043543]""","=""[24.3748069921824]""","=""1s.7g""","=""3G""","=""3""","=""1s.8f""","=""3F*""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650555127075""","=""0.0000000000014""","=""""","=""4.0608e+02""",AAA,"=""[24.3097514043543]""","=""[24.3748069170618]""","=""1s.7g""","=""3G""","=""3""","=""1s.8f""","=""3F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650555110125""","=""0.0000000000014""","=""""","=""1.985e+02""",AA,"=""[24.3097514811699]""","=""[24.3748069921824]""","=""1s.7g""","=""1G""","=""4""","=""1s.8f""","=""3F*""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.0650554358918""","=""0.0000000000014""","=""""","=""4.755e+02""",AA,"=""[24.3097514811699]""","=""[24.3748069170618]""","=""1s.7g""","=""1G""","=""4""","=""1s.8f""","=""3F*""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.064992253351""","=""0.000000000005""","=""""","=""3.904e+03""",AA,"=""[24.3097272911601]""","=""[24.374719544511]""","=""1s.7f""","=""3F*""","=""3""","=""1s.8d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.064991647441""","=""0.000000000005""","=""""","=""1.2290e+04""",AAA,"=""[24.3097278970701]""","=""[24.374719544511]""","=""1s.7f""","=""1F*""","=""3""","=""1s.8d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.064953609054""","=""0.000000000009""","=""""","=""1.1012e+04""",AAA,"=""[24.3097272911601]""","=""[24.374680900214]""","=""1s.7f""","=""3F*""","=""3""","=""1s.8d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.064953588909""","=""0.000000000009""","=""""","=""9.7261e+02""",AAA,"=""[24.3097272911601]""","=""[24.374680880069]""","=""1s.7f""","=""3F*""","=""3""","=""1s.8d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.064953578175""","=""0.000000000009""","=""""","=""1.6305e+04""",AAA,"=""[24.3097276075680]""","=""[24.374681185743]""","=""1s.7f""","=""3F*""","=""2""","=""1s.8d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.064953471679""","=""0.000000000009""","=""""","=""1.4974e+04""",AAA,"=""[24.3097274083893]""","=""[24.374680880069]""","=""1s.7f""","=""3F*""","=""4""","=""1s.8d""","=""3D""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.064953292646""","=""0.000000000009""","=""""","=""1.8116e+03""",AAA,"=""[24.3097276075680]""","=""[24.374680900214]""","=""1s.7f""","=""3F*""","=""2""","=""1s.8d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.064953272501""","=""0.000000000009""","=""""","=""3.6974e+01""",AAA,"=""[24.3097276075680]""","=""[24.374680880069]""","=""1s.7f""","=""3F*""","=""2""","=""1s.8d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.064953003144""","=""0.000000000009""","=""""","=""3.482e+03""",AA,"=""[24.3097278970701]""","=""[24.374680900214]""","=""1s.7f""","=""1F*""","=""3""","=""1s.8d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.064952982999""","=""0.000000000009""","=""""","=""3.215e+02""",AA,"=""[24.3097278970701]""","=""[24.374680880069]""","=""1s.7f""","=""1F*""","=""3""","=""1s.8d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
