   j      e(j)         levid         stwt


  1.0604E-16 7.7697E-17 5.7086E-17 4.2085E-17 3.1174E-17 2.3220E-17 1.7410E-17
  1.3155E-17 1.0029E-17 7.7202E-18 6.0064E-18 4.7265E-18 3.7613E-18 3.0298E-18
 10000101.0200 -2.8900E-01  1.6356E-13  1.4578E-13  1.2993E-13  1.1580E-13
  1.0322E-13 9.1998E-14 8.2001E-14 7.3091E-14 6.5152E-14 5.8077E-14 5.1773E-14
  4.6155E-14 4.1150E-14 3.6691E-14 3.2719E-14 2.9181E-14 2.6030E-14 2.3224E-14
  2.0726E-14 1.8503E-14 1.6525E-14 1.4765E-14 1.3201E-14 1.1810E-14 1.0575E-14
  9.4769E-15 8.5015E-15 7.6348E-15 6.8639E-15 6.1775E-15 5.5652E-15 5.0174E-15
  4.5257E-15 4.0821E-15 3.6799E-15 3.3137E-15 2.9851E-15 2.7224E-15 2.6063E-15
  2.7507E-15 3.2145E-15 3.9171E-15 4.6552E-15 5.2086E-15 5.4388E-15 5.2971E-15
  4.8945E-15 4.3029E-15 3.6504E-15 3.0033E-15 2.4016E-15 1.8824E-15 1.4549E-15
  1.1063E-15 8.3434E-16 6.1777E-16 4.5771E-16 3.3723E-16 2.4049E-16 1.7492E-16
  1.2682E-16 9.1169E-17 6.5724E-17 4.7304E-17 3.4014E-17 2.4438E-17 1.7556E-17
  1.2610E-17 9.0620E-18 6.5171E-18 4.6927E-18 3.3845E-18 2.4462E-18 1.7730E-18
  1.2893E-18 9.4151E-19 6.9102E-19 5.1018E-19 3.7938E-19 2.8429E-19 2.1505E-19
 10000101.0300 -1.2170E-01  4.5238E-14  4.0321E-14  3.5939E-14  3.2033E-14
  2.8553E-14 2.5452E-14 2.2688E-14 2.0225E-14 1.8031E-14 1.6075E-14 1.4333E-14
  1.2781E-14 1.1399E-14 1.0168E-14 9.0716E-15 8.0957E-15 7.2272E-15 6.4547E-15
  5.7678E-15 5.1573E-15 4.6152E-15 4.1340E-15 3.7071E-15 3.3285E-15 2.9926E-15
  2.6941E-15 2.4283E-15 2.1910E-15 1.9786E-15 1.7880E-15 1.6164E-15 1.4615E-15
  1.3211E-15 1.1932E-15 1.0762E-15 9.6864E-16 8.7132E-16 7.9428E-16 7.7126E-16
  8.6073E-16 1.1092E-15 1.4991E-15 1.9393E-15 2.3098E-15 2.5215E-15 2.5364E-15
  2.3937E-15 2.1349E-15 1.8253E-15 1.5063E-15 1.2055E-15 9.4295E-16 7.2527E-16
  5.4854E-16 4.1066E-16 3.0254E-16 2.2234E-16 1.6243E-16 1.1581E-16 8.3591E-17
  6.0137E-17 4.2970E-17 3.0751E-17 2.1967E-17 1.5680E-17 1.1178E-17 7.9679E-18
  5.6788E-18 4.0484E-18 2.8878E-18 2.0617E-18 1.4739E-18 1.0556E-18 7.5767E-19
  5.4540E-19 3.9401E-19 2.8589E-19 2.0850E-19 1.5293E-19 1.1316E-19 8.4359E-20
 10000101.0400 -6.6818E-02  1.9484E-14  1.7366E-14  1.5479E-14  1.3798E-14
  1.2300E-14 1.0964E-14 9.7746E-15 8.7145E-15 7.7699E-15 6.9283E-15 6.1786E-15
  5.5108E-15 4.9161E-15 4.3866E-15 3.9152E-15 3.4956E-15 3.1223E-15 2.7902E-15
  2.4949E-15 2.2323E-15 1.9989E-15 1.7915E-15 1.6071E-15 1.4432E-15 1.2974E-15
  1.1675E-15 1.0518E-15 9.4850E-16 8.5599E-16 7.7291E-16 6.9803E-16 6.3027E-16
  5.6869E-16 5.1250E-16 4.6102E-16 4.1381E-16 3.7219E-16 3.4683E-16 3.7387E-16
  5.1899E-16 8.3891E-16 1.3210E-15 1.8659E-15 2.3363E-15 2.6256E-15 2.6939E-15
  2.5695E-15 2.3094E-15 1.9812E-15 1.6375E-15 1.3134E-15 1.0294E-15 7.9239E-16
  6.0099E-16 4.5086E-16 3.3476E-16 2.4711E-16 1.8141E-16 1.3205E-16 9.6128E-17
  6.9785E-17 5.0505E-17 3.6513E-17 2.6359E-17 1.9014E-17 1.3696E-17 9.8614E-18
  7.0963E-18 5.1043E-18 3.6707E-18 2.6390E-18 1.8973E-18 1.3640E-18 9.8080E-19
  7.0545E-19 5.0761E-19 3.6550E-19 2.6336E-19 1.8995E-19 1.3721E-19 9.9257E-20
 10000101.0500 -4.2179E-02  1.0283E-14  9.1655E-15  8.1701E-15  7.2831E-15
  6.4927E-15 5.7884E-15 5.1609E-15 4.6017E-15 4.1035E-15 3.6597E-15 3.2643E-15
  2.9121E-15 2.5985E-15 2.3192E-15 2.0706E-15 1.8494E-15 1.6526E-15 1.4775E-15
  1.3218E-15 1.1834E-15 1.0602E-15 9.5069E-16 8.5322E-16 7.6642E-16 6.8907E-16
  6.2006E-16 5.5839E-16 5.0320E-16 4.5367E-16 4.0911E-16 3.6888E-16 3.3243E-16
  2.9930E-16 2.6908E-16 2.4144E-16 2.1621E-16 1.9485E-16 1.8793E-16 2.3173E-16
  3.9364E-16 7.3413E-16 1.2437E-15 1.8221E-15 2.3268E-15 2.6452E-15 2.7336E-15
  2.6182E-15 2.3588E-15 2.0249E-15 1.6727E-15 1.3399E-15 1.0477E-15 8.0397E-16
  6.0756E-16 4.5380E-16 3.3553E-16 2.4641E-16 1.7991E-16 1.3046E-16 9.4433E-17
